INFO  - 2017-11-13 10:28:25.478; org.apache.solr.rest.RestManager; Initializing 2 registered ManagedResources
INFO  - 2017-11-13 10:28:25.481; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_stopwords_english.json using file:dir=/Users/apple/profile/django_by_example/dev/solr-4.10.4/example/solr/collection1/conf
INFO  - 2017-11-13 10:28:25.483; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_stopwords_english.json using file:dir=/Users/apple/profile/django_by_example/dev/solr-4.10.4/example/solr/collection1/conf
INFO  - 2017-11-13 10:28:25.488; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true} for /schema/analysis/stopwords/english
INFO  - 2017-11-13 10:28:25.490; org.apache.solr.rest.schema.analysis.ManagedWordSetResource; Loaded 35 words for /schema/analysis/stopwords/english
INFO  - 2017-11-13 10:28:25.492; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/stopwords/english
INFO  - 2017-11-13 10:28:25.492; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_synonyms_english.json using file:dir=/Users/apple/profile/django_by_example/dev/solr-4.10.4/example/solr/collection1/conf
INFO  - 2017-11-13 10:28:25.493; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_synonyms_english.json using file:dir=/Users/apple/profile/django_by_example/dev/solr-4.10.4/example/solr/collection1/conf
INFO  - 2017-11-13 10:28:25.494; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true,format=solr} for /schema/analysis/synonyms/english
INFO  - 2017-11-13 10:28:25.495; org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager; Loaded 3 synonym mappings for /schema/analysis/synonyms/english
INFO  - 2017-11-13 10:28:25.499; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/synonyms/english
INFO  - 2017-11-13 10:28:25.500; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2017-11-13 10:28:25.519; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
